::SOS PWR RTG
--SOSP_Rank	*Team	Region	Seed	SOSP_Rating	SOSP_Record
South Regional 2	3	Arlington	32°42′18″N 97°07′22″W
South 6-11	1	Austin, Texas	30°15′N 97°45′W
South 6-11-3-14	2	Austin, Texas	30°15′N 97°45′W
South 3-14	1	Austin, Texas	30°15′N 97°45′W
South 1-16	1	Kansas City, Missouri	39°05′59″N 94°34′42″W
South 1-16-8-9	2	Kansas City, Missouri	39°05′59″N 94°34′42″W
South 8-9	1	Kansas City, Missouri	39°05′59″N 94°34′42″W
South 7-10	1	Philadelphia, Pennsylvania	39°57′12″N 75°10′12″W
South 2-15	1	Philadelphia, Pennsylvania	39°57′12″N 75°10′12″W
South 7-10-2-15	2	Philadelphia, Pennsylvania	39°57′12″N 75°10′12″W
South 5-12	1	Auburn Hills, Michigan	42°41′15″N 83°14′03″W
South 4-13	1	Auburn Hills, Michigan	42°41′15″N 83°14′03″W
South 5-12-4-13	2	Auburn Hills, Michigan	42°41′15″N 83°14′03″W

::Seeds
--Seed	Region	*Team	Conference	S_Record	Berth	S_Rank	Location
1	South	Kansas	Big 12	29–5	Automatic	3	38°58′18″N 95°14′7″W
2	South	Georgetown	Big East	25–6	At-large	7	38°53′42.4″N 77°02′12.0″W
3	South	Florida	SEC	26–7	At-large	10	29°39′7.1964″N 82°19′29.974800″W
4	South	Michigan	Big Ten	26–7	At-large	13	42.2830°N 83.7350°W
5	South	VCU	Atlantic 10	26–8	At-large	20	37.5466151°N 77.4532558°W
6	South	UCLA	Pac-12	25–9	At-large	24	34°04′20.00″N 118°26′38.75″W
7	South	San Diego St	Mountain West	22–10	At-large	26	32°42′54″N 117°09′45″W
8	South	N Carolina	ACC	24–10	At-large	29	35°56′N 79°2′W
9	South	Villanova	Big East	20–13	At-large	38	40°02′14″N 75°20′57″W
10	South	Oklahoma	Big 12	20–11	At-large	40	35°13′N 97°25′W
11	South	Minnesota	Big Ten	20–12	At-large	41	44°59′N 93°16′W
